Kabupaten Aceh Barat,Kaway XVI,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Johan Pahlawan,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat Daya,Blang Pidie,50000,2-3,43000,3-6,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Sungai Mas,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Pante Ceureumen (Pantai Ceuremen),63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Arongan Lambalek,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Samatiga,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Woyla,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Bubon,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat Daya,Babah Rot,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Indrapuri,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Darul Imarah,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Darul Kamal,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat Daya,Kuala Batee,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat Daya,Manggeng,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Woyla Barat,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat Daya,Susoh,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Lhoong,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Barat,Woyla Timur,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Darussalam,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Kota Cot Glie (Kuta Cot Glie),63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Baitussalam,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Kuta Baro,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
Kabupaten Aceh Besar,Leupung,63000,3-6,54000,4-7,0,Daerah Istimewa Aceh
